# RadCal SD array, extracted from FDS Source/rcal.f90.
# source: https://raw.githubusercontent.com/firemodels/fds/61bd9cc6317ea4f47f46de3d52268e858f0ca8b0/Source/rcal.f90
# retrieved: 2026-09-22
# reference: W. L. Grosshandler (1993), 'RadCal: A Narrow-Band Model for Radiation Calculations in a Combustion Environment', NIST Technical Note 1402; as implemented in FDS Source/rcal.f90
# licence: public domain (a work of the US federal government).
# STATUS: REFERENCE DATA -- transcribed, not modelled and not measured here.
# note: H2O narrow-band mean absorption coefficient. RadCal's H2O routine is a bilinear interpolation in this table over (temperature, wavenumber) and nothing else.
# units: cm-1 per atm of partial pressure, referred to STP density (NASA SP-3080).
wavenumber_cm-1,k_300K,k_600K,k_1000K,k_1500K,k_2000K,k_2500K
2450,4.8e-05,0.000113,0.000518,0.00201,0.0092,0.02
2475,3.72e-05,0.000106,0.000435,0.00168,0.00785,0.0183
2500,3.55e-05,0.000101,0.000376,0.00168,0.00669,0.0166
2525,3.58e-05,9.9e-05,0.000366,0.00167,0.00651,0.0156
2550,3.89e-05,0.000102,0.000376,0.00167,0.00641,0.0152
2575,4.22e-05,0.000106,0.000373,0.00168,0.00656,0.015
2600,5.21e-05,0.000111,0.000371,0.0017,0.00673,0.0152
2625,6.46e-05,0.000121,0.000384,0.00179,0.00798,0.0179
2650,7.42e-05,0.000129,0.000479,0.00201,0.00788,0.0175
2675,9.53e-05,0.000165,0.000544,0.00249,0.00945,0.0204
2700,0.000101,0.00019,0.000761,0.00324,0.0106,0.0231
2725,0.000147,0.000272,0.000892,0.00441,0.0125,0.0257
2750,0.000195,0.000326,0.001,0.00499,0.0147,0.0295
2775,0.000261,0.000421,0.00145,0.00568,0.0161,0.0306
2800,0.000305,0.000515,0.00195,0.00754,0.0185,0.0363
2825,0.000362,0.000645,0.00237,0.0083,0.0205,0.0373
2850,0.000507,0.00085,0.00274,0.00888,0.0234,0.0431
2875,0.000799,0.00118,0.00322,0.011,0.0262,0.0451
2900,0.000935,0.0016,0.00386,0.0126,0.0292,0.053
2925,0.00108,0.00231,0.00451,0.014,0.0306,0.0536
2950,0.00192,0.00271,0.00563,0.0159,0.0357,0.0629
2975,0.00263,0.003,0.00625,0.0179,0.0385,0.0666
3000,0.00295,0.0033,0.00701,0.0203,0.046,0.0782
3025,0.0031,0.0037,0.00846,0.022,0.0519,0.0889
